"Description","Value","Replicate.Name","Metabolite.name","Area.Value","Area.with.QC","MZ.Value","SN.Value","RT.Value","RT.Expected","Run.Type","SN.Flag","Area.Min.Flag","RT.Flag","Blank.Flag","all.Flags"
"Hello! Welcome to the world of MSDIAL QE Quality Control! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum area for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT flexibility: ",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank can be this fraction of a sample: ",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S/N ratio: ",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Processed on: ",1574726019.04233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"190912_Blk_Blk_20","FA 10:0",840361,840361,171.138,0.3558533,3.125,3.1,"blk","SN.Flag",NA,NA,"Blank.Flag","SN.Flag, Blank.Flag"
NA,NA,"190912_Blk_HBlk1_A.0.2","FA 10:0",5270872,5270872,171.138,45.78262,2.837,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Blk_HBlk1_A.0.3","FA 10:0",3809496,3809496,171.138,26.49679,2.857,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Blk_HBlk1_B.0.2","FA 10:0",3657581,3657581,171.138,34.72428,2.849,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Blk_HBlk1_B.0.3","FA 10:0",5045438,5045438,171.138,55.72681,2.843,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Blk_HBlk1_C.0.2","FA 10:0",5016224,5016224,171.138,48.82314,2.866,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Blk_HBlk1_C.0.3","FA 10:0",3886257,3886257,171.138,37.07949,3.142,3.1,"blk",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Full1","FA 10:0",4386482,4386482,171.138,25.0529,2.838,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Full2","FA 10:0",4335678,4335678,171.138,37.1725,2.822,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Full3","FA 10:0",4739196,4739196,171.138,47.17751,2.841,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Full4","FA 10:0",5253407,5253407,171.138,59.69047,2.85,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Half1","FA 10:0",3077441,3077441,171.138,11.64417,2.851,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Half2","FA 10:0",2720644,2720644,171.138,21.16455,2.853,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Half3","FA 10:0",3151105,3151105,171.138,34.1371,2.855,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Poo_TruePooFA.DepthProfiles_Half4","FA 10:0",3412500,3412500,171.138,37.5855,2.847,3.1,"poo",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D5_0.2","FA 10:0",2684046,2684046,171.138,20.60624,2.842,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D5_0.3","FA 10:0",3720132,3720132,171.138,62.58418,3.144,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D25_0.2","FA 10:0",3076642,3076642,171.139,22.75937,2.874,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D25_0.3","FA 10:0",2310354,2310354,171.138,14.82202,2.856,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D100_0.2","FA 10:0",4194590,4194590,171.138,34.59708,2.852,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D100_0.3","FA 10:0",6262800,6262800,171.138,77.4945,2.847,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D150_0.2","FA 10:0",4296222,4296222,171.138,35.96014,2.865,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D150_0.3","FA 10:0",8107949,8107949,171.138,109.2669,2.851,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D200_0.2","FA 10:0",1887910,1887910,171.138,9.747452,2.863,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D200_0.3","FA 10:0",7105814,7105814,171.138,61.01229,2.85,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D400_0.2","FA 10:0",1614534,1614534,171.138,6.881186,2.896,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D400_0.3","FA 10:0",5094326,5094326,171.138,72.77733,2.841,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D600_0.2","FA 10:0",3936931,3936931,171.138,30.63871,2.863,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D600_0.3","FA 10:0",2231228,2231228,171.138,14.46525,2.87,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D800_0.2","FA 10:0",2302247,2302247,171.138,18.62856,3.14,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D800_0.3","FA 10:0",3998586,3998586,171.138,26.43135,2.88,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D1000_0.2","FA 10:0",3098368,3098368,171.138,29.80715,3.147,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS2C1D1000_0.3","FA 10:0",4023959,4023959,171.138,36.06371,3.135,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS3D15_A.0.2","FA 10:0",2511608,2511608,171.138,17.07391,2.829,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS3D15_A.0.3","FA 10:0",3082982,3082982,171.138,23.52547,3.146,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS3D15_B.0.2","FA 10:0",1724082,1724082,171.138,10.57921,3.14,3.1,"smp",NA,NA,NA,NA,NA
NA,NA,"190912_Smp_HS3D15_B.0.3","FA 10:0",2183322,2183322,171.138,21.75637,3.148,3.1,"smp",NA,NA,NA,NA,NA
